original_id,provider_name_en,provider_name_cy,source_name_en,source_name_cy
10250,British Transport Police,Heddlu Trafnidiaeth Prydeinig,Computerised crime reporting system (CRIME),System adrodd troseddau cyfrifiadurol (CRIME)
10137,Cardiff University,Prifysgol Caerdydd,Welsh Oral Health Information Unit (WOHIU),Uned Gwybodaeth Iechyd Geneuol Cymru (WOHIU)
10078,Care Inspectorate Wales,Arolygiaeth Gofal Cymru,Registration and regulatory business system,System busnes cofrestru a rheoleiddio
10296,Chartered Institute for Public Finance and Accountancy (CIPFA),Sefydliad Siartredig Cyllid Cyhoeddus a Chyfrifyddiaeth (CIPFA),Council tax survey,Arolwg dreth gyngor
10257,Civil Aviation Authority,Awdurdod Hedfan Sifil,Administrative data,Data gweinyddol
10336,Civil Aviation Authority,Awdurdod Hedfan Sifil,Airport data,Data maes awyr
10143,Community Dental Services,Wasanaethau Deintyddol Cymunedol,Community dental activity returns (CDSWR),Ffurflenni gweithgarwch deintyddol cymunedol (CDSWR)
10228,Department for Education,Yr Adran Addysg,Employer skills survey,Arolwg sgiliau cyflogwyr
10331,Department for Education,Yr Adran Addysg,Pupil attainment and absence,Absenoliaeth a chyrhaeddiad disgyblion
10277,Department for Education,Yr Adran Addysg,Support staff pay data,Data ar gyflogau staff cymorth
10099,Department for Education,Yr Adran Addysg,Vocational qualifications data,Data am gymwysterau galwedigaethol
10273,"Department for Environment, Food and Rural Affairs","Adran yr Amgylchedd, Bwyd a Materion Gwledig",Air concentration,Crynodiad aer
10285,"Department for Environment, Food and Rural Affairs","Adran yr Amgylchedd, Bwyd a Materion Gwledig",Bovine TB monitoring information,Gwybodaeth fonitro TB buchol
10284,"Department for Environment, Food and Rural Affairs","Adran yr Amgylchedd, Bwyd a Materion Gwledig",Cattle tracing system,System olrhain gwartheg
10307,Department for Transport,Adran Drafnidiaeth,Automated traffic counts,Cyfrifon traffic awtomatig
10239,Department for Transport,Adran Drafnidiaeth,Concessionary fares smartcard database,Cronfa ddata tocynnau teithio rhatach smartcard
10311,Department for Transport,Adran Drafnidiaeth,Coroners court data,Data cwrt crwneriaid
10109,Department for Transport,Adran Drafnidiaeth,Local authority concessionary fares claim forms,Ffurflenni hawlio tocynnau teithio am ddim awdurdodau lleol
10252,Department for Transport,Adran Drafnidiaeth,Manual traffic survey,Arolwg traffig ar sail data â gesglir â llaw
10345,Department for Transport,Adran Drafnidiaeth,Maritime and shipping statistics,Ystadegau morol a llongau
10308,Department for Transport,Adran Drafnidiaeth,National roads maintenance condition survey (NRMCS),Arolwg cenedlaethol cyflwr cynnal a chadw heolydd (NRCMS)
10234,Department for Transport,Adran Drafnidiaeth,Ports survey,Arolwg o borthladdoedd
10249,Department for Transport,Adran Drafnidiaeth,Public service vehicle survey,Arolwg o gerbydau gwasanaethau cyhoeddus
10283,Department for Transport,Adran Drafnidiaeth,Road speed and congestion data,Data ar gyflymder a thagfeydd
10235,Department for Transport,Adran Drafnidiaeth,Survey of road freight,Arolwg o gludo nwyddau
10315,Department for Transport,Adran Drafnidiaeth,Taxi licences,Trwyddedau tacsi
10236,Department for Transport,Adran Drafnidiaeth,Transport research laboratory,Labordy ymchwil drafnidiaeth
10087,Department for Work and Pensions (DWP),Adran Gwaith a Phensiynau (DWP),"Households below average income, Family resources survey","Aelwydydd islaw'r incwm cyfartalog, Arolwg adnoddau teuluol"
10159,Department for Work and Pensions (DWP),Adran Gwaith a Phensiynau (DWP),Information Exploitation and Security Directorate,Gyfarwyddiaeth Diogelu a Manteisio ar Wybodaeth
10092,Department for Work and Pensions (DWP),Adran Gwaith a Phensiynau (DWP),Jobcentre Plus administrative system,System weinyddu'r Ganolfan Byd Gwaith
10186,Department of Health & Social Care,Yr Adran Iechyd a Gofal Cymdeithasol,Abortion statistics,Ystadegau erthylu
10189,Diabetic Eye Screening Wales (DESW),Sgrinio Llygaid Diabetig Cymru (DESW),Administrative data,Data gweinyddol
10181,Digital Health and Care Wales (DHCW),Iechyd a Gofal Digidol Cymru (DHCW),Diagnostic and Therapy Services Waiting Times (DATS),Gwasanaethau Diagnostig a Therapi Amseroedd Aros (DATS)
10180,Digital Health and Care Wales (DHCW),Iechyd a Gofal Digidol Cymru (DHCW),Emergency Department Data Set (EDDS),Set Ddata Adran Achosion Brys (EDDS)
10147,Digital Health and Care Wales (DHCW),Iechyd a Gofal Digidol Cymru (DHCW),GP Quality and Outcomes Framework,Fframwaith Canlyniadau Ansawdd
10160,Digital Health and Care Wales (DHCW),Iechyd a Gofal Digidol Cymru (DHCW),Health Maps Wales,Mapiau Iechyd Cymru
